threshold,voltage,x,y,z
0,10.1642,10.1642,,
1,13.1846,13.1846,3.0204,
2,16.1757,16.1757,2.9911,-0.0293
3,19.1424,19.1424,2.9667,-0.0244
4,22.0873,22.0873,2.9449,-0.0218
5,25.0142,25.0142,2.9269,-0.018
6,27.9242,27.9242,2.91,-0.0169
7,30.8196,30.8196,2.8954,-0.0146
8,33.7002,33.7002,2.8806,-0.0148
9,36.5697,36.5697,2.8695,-0.0111
10,39.4278,39.4278,2.8581,-0.0114
11,42.2757,42.2757,2.8479,-0.0102
12,45.1135,45.1135,2.8378,-0.0101
13,47.9429,47.9429,2.8294,-0.0084
14,50.7639,50.7639,2.821,-0.0084
15,53.5775,53.5775,2.8136,-0.0074
16,56.3819,56.3819,2.8044,-0.0092
17,59.1832,59.1832,2.8013,-0.0031
18,61.9802,61.9802,2.797,-0.0043
19,64.7753,64.7753,2.7951,-0.0019
20,67.572,67.572,2.7967,0.0016
21,70.3761,70.3761,2.8041,0.0074
22,73.1878,73.1878,2.8117,0.0076
23,76.0049,76.0049,2.8171,0.0054
24,78.8231,78.8231,2.8182,0.0011
25,81.6429,81.6429,2.8198,0.0016
26,84.4619,84.4619,2.819,-0.0008
27,87.28,87.28,2.8181,-0.0009
28,90.0961,90.0961,2.8161,-0.002
29,92.911,92.911,2.8149,-0.0012
30,95.7241,95.7241,2.8131,-0.0018
31,98.5355,98.5355,2.8114,-0.0017
32,101.343,101.343,2.8075,-0.0039
33,104.152,104.152,2.809,0.0015
34,106.956,106.9565,2.8045,-0.0045
35,109.761,109.761,2.8045,-1.42109E-14
36,112.563,112.563,2.802,-0.0025
37,115.364,115.364,2.801,-0.001
38,118.163,118.163,2.799,-0.002
39,120.961,120.961,2.798,-0.001
40,123.756,123.756,2.795,-0.003
41,126.551,126.551,2.795,0
42,129.343,129.343,2.792,-0.003
43,132.135,132.135,2.792,1.42109E-14
44,134.925,134.925,2.79,-0.002
45,137.714,137.714,2.789,-0.001
46,140.501,140.501,2.787,-0.002
47,143.287,143.287,2.786,-0.001
48,146.07,146.07,2.783,-0.003
49,148.854,148.854,2.784,0.001
50,151.636,151.636,2.782,-0.002
51,154.417,154.417,2.781,-0.001
52,157.197,157.197,2.78,-0.001
53,159.975,159.975,2.778,-0.002
54,162.753,162.753,2.778,0
55,165.53,165.53,2.777,-0.001
56,168.304,168.304,2.774,-0.003
57,171.078,171.078,2.774,0
58,173.852,173.852,2.774,0
59,176.624,176.624,2.772,-0.002
60,179.395,179.395,2.771,-0.001
61,182.166,182.166,2.771,-2.84217E-14
62,184.935,184.935,2.769,-0.002
63,187.703,187.703,2.768,-0.001
64,190.469,190.469,2.766,-0.002
65,193.236,193.236,2.767,0.001
66,196.001,196.001,2.765,-0.002
67,198.766,198.766,2.765,-2.84217E-14
68,201.53,201.53,2.764,-0.001
